Ticker,Company Name,IndustryId,Fiscal Year,Fiscal Period,Revenue,Operating Expenses,Net Income,Date,Open,Close,Price Movement,Return_1d,Return_3d,Return_7d,MA_7,MA_14,Volatility_7d,RSI_14,MA_20,BB_Upper,BB_Lower,EMA_12,EMA_26,MACD,Price Change %,Action,Capital,Total Stock Value,Total Portfolio Value
AAPL,APPLE INC,101001,2019,Q3,53809000000,-8683000000,10044000000,2019-05-06,51.07,52.12,0,-0.0154892330940688,-0.009690290708721405,0.015588464536243185,51.76857142857143,51.43214285714286,0.9934691501908425,64.13708690330475,50.969,53.04977819450724,48.88822180549276,51.618344820209565,51.05040813385816,0.5679366863514019,,HOLD,10000.0,0.0,10000.0
AAPL,APPLE INC,101001,2019,Q3,53809000000,-8683000000,10044000000,2019-05-07,51.47,50.72,1,-0.026861089792785897,-0.03002486135016258,-0.007047768206734473,51.71714285714286,51.49714285714286,1.0431317316253845,54.7544409613375,51.004000000000005,53.04064739991461,48.9673526000854,51.48013792479271,51.025933457276075,0.45420446751663235,-2.6861089792785897,BUY,8376.960000000001,1623.04,10000.0
AAPL,APPLE INC,101001,2019,Q3,53809000000,-8683000000,10044000000,2019-05-08,50.48,50.73,0,0.00019716088328070036,-0.04174537211938045,-0.008211143695014744,51.65714285714285,51.493571428571435,1.092118953925705,49.709639953542364,51.0465,53.018848586677414,49.07415141332259,51.364732090209216,51.00401246044081,0.3607196297684041,0.019716088328070036,HOLD,8376.960000000001,1623.36,10000.320000000002
AAPL,APPLE INC,101001,2019,Q3,53809000000,-8683000000,10044000000,2019-05-09,50.1,50.18,0,-0.010841711019120792,-0.0372217958557175,0.00019932230416586094,51.65857142857142,51.43714285714286,1.0898536380546333,45.59643255295429,51.0475,53.01797549698303,49.07702450301697,51.18246561479241,50.94297450040816,0.23949111438425064,-1.0841711019120792,HOLD,8376.960000000001,1605.76,9982.720000000001
AAPL,APPLE INC,101001,2019,Q3,53809000000,-8683000000,10044000000,2019-05-10,49.35,49.3,0,-0.017536867277800017,-0.027996845425867556,-0.06327189815694478,51.18285714285714,51.30642857142857,1.301393026538791,40.557275541795626,51.0255,53.06602083134622,48.98497916865378,50.89285552020896,50.821272685563116,0.07158283464584514,-1.7536867277800017,HOLD,8376.960000000001,1577.6,9954.560000000001
AAPL,APPLE INC,101001,2019,Q3,53809000000,-8683000000,10044000000,2019-05-13,46.93,46.43,1,-0.05821501014198782,-0.08476246796767195,-0.11206731688659399,50.34571428571429,50.917857142857144,2.1063385066892546,26.9881556683587,50.861000000000004,53.71354383240459,48.00845616759542,50.206262363253735,50.495993227373255,-0.28973086411951954,-5.821501014198782,BUY,8376.960000000001,1485.76,9862.720000000001
AAPL,APPLE INC,101001,2019,Q3,53809000000,-8683000000,10044000000,2019-05-14,46.6,47.16,1,0.015722593150979902,-0.06018333997608616,-0.10918020400453343,49.519999999999996,50.58714285714285,2.0520640016010026,31.435445068163574,50.7285,54.00175542123305,47.455244578766944,49.737606615060855,50.2488826179382,-0.5112760028773451,1.5722593150979902,BUY,8376.960000000001,1509.12,9886.080000000002
AAPL,APPLE INC,101001,2019,Q3,53809000000,-8683000000,10044000000,2019-05-15,46.57,47.73,0,0.012086513994910897,-0.03184584178498984,-0.08422870299309293,48.892857142857146,50.330714285714286,1.7774861864040532,35.71996817820205,50.6245,54.14357568605884,47.10542431394116,49.42874405889765,50.06229872031315,-0.6335546614155021,1.2086513994910897,HOLD,8376.960000000001,1527.36,9904.320000000002
AAPL,APPLE INC,101001,2019,Q3,53809000000,-8683000000,10044000000,2019-05-16,47.48,47.52,0,-0.004399748585794949,0.02347620073228529,-0.06309148264984221,48.435714285714276,50.076428571428565,1.6350418663636737,35.80542264752792,50.4615,54.24250112056109,46.680498879438915,49.13509112675955,49.873980296586254,-0.7388891698267059,-0.4399748585794949,HOLD,8376.960000000001,1520.64,9897.6
AAPL,APPLE INC,101001,2019,Q3,53809000000,-8683000000,10044000000,2019-05-17,46.73,47.25,0,-0.005681818181818232,0.001908396946564972,-0.0685984624482554,47.93857142857143,49.79785714285714,1.3198665156172968,34.69387755102041,50.2755,54.30875896698152,46.24224103301848,48.84507710725808,49.679611385728016,-0.8345342784699383,-0.5681818181818232,HOLD,8376.960000000001,1512.0,9888.960000000001
